#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:24:08       0    382     57     61     84     64      0      0      0      0   2619   1980  14829  14830      0 
 20260905    03:24:08       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:13       0    394     56     59     92     55      0      0      0      0   2619   1980  14831  14832      0 
 20260905    03:24:13       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:18       0    366     57     60     74     47      0      0      0      0   2619   1980  14831  14832      0 
 20260905    03:24:18       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:23       0    346     55     58     76     42      0      0      0      0   2619   1980  14831  14832      0 
 20260905    03:24:23       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:28       0    258     54     55     59     26      0      0      0      0   2619   1980  14835  14836      0 
 20260905    03:24:28       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:33       0    339     55     59     64     49      0      0      0      0   2619   1980  16049  16050      0 
 20260905    03:24:33       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:38       0    374     56     59     75     41      0      0      0      0   2619   1980  16051  16052      0 
 20260905    03:24:38       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:43       0    370     56     57     61     30      0      0      0      0   2619   1980  16051  16052      0 
 20260905    03:24:43       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:48       0    374     54     56     79     43      0      0      0      0   2619   1980  16053  16054      0 
 20260905    03:24:48       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:53       0    341     56     58     81     44      0      0      0      0   2619   1980  16053  16054      0 
 20260905    03:24:53       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:24:58       0    323     56     59     42     34      0      0      0      0   2619   1980  16055  16056      0 
 20260905    03:24:58       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:25:03       0    336     55     57     73     36      0      0      0      0   2619   1980  16055  16056      0 
 20260905    03:25:03       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:08       0    336     53     53     30     13      0      0      0      0   2619   1980  16055  16056      0 
 20260905    03:25:08       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:13       0    332     55     55     56     22      0      0      0      0   2619   1980  16057  16058      0 
 20260905    03:25:13       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:18       0    417     56     58     54     33      0      0      0      0   2619   1980  16057  16058      0 
 20260905    03:25:18       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:23       0    428     58     62    100     67      0      0      0      0   2619   1980  16057  16058      0 
 20260905    03:25:23       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:28       0    406     58     61    100     72      0      0      0      0   2619   1980  16057  16058      0 
 20260905    03:25:28       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:33       0    443     57     61     99     63      0      0      0      0   2619   1980  16057  16058      0 
 20260905    03:25:33       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:38       0    317     54     56     63     56      0      0      0      0   2619   1980  16061  16062      0 
 20260905    03:25:38       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:43       0    333     53     53      0      0      0      0      0      0   2619   1980  16061  16062      0 
 20260905    03:25:43       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:48       0    312     53     53     11      4      0      0      0      0   2619   1980  16061  16062      0 
 20260905    03:25:48       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:53       0    389     57     60     91     54      0      0      0      0   2619   1980  16061  16062      0 
 20260905    03:25:53       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:25:58       0    359     56     58     79     42      0      0      0      0   2619   1980  16063  16064      0 
 20260905    03:25:58       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:03       0    357     56     58     88     67      0      0      0      0   2619   1980  16063  16064      0 
 20260905    03:26:03       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:08       0    330     55     56     66     29      0      0      0      0   2619   1980  16063  16064      0 
 20260905    03:26:08       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:13       0    331     54     56     60     26      0      0      0      0   2619   1980  16065  16066      0 
 20260905    03:26:13       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:18       0    331     53     55     53     29      0      0      0      0   2619   1980  16065  16066      0 
 20260905    03:26:18       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:23       0    340     56     58     82     44      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:23       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:28       0    370     56     59    100     58      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:28       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:33       0    399     55     57     93     56      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:33       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:38       0    379     57     59    100     63      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:38       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:43       0    362     55     56     32     16      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:43       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:48       0    329     53     55     42     20      0      0      0      0   2619   1980  16067  16068      0 
 20260905    03:26:48       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:26:53       0    367     55     59    100     63      0      0      0      0   2619   1980  16071  16072      0 
 20260905    03:26:53       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:26:58       0    407     55     57     59     36      0      0      0      0   2619   1980  16071  16072      0 
 20260905    03:26:58       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:03       0    407     56     60     92     55      0      0      0      0   2619   1980  16071  16072      0 
 20260905    03:27:03       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:08       0    312     55     56     34     16      0      0      0      0   2619   1980  16071  16072      0 
 20260905    03:27:08       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:13       0    440     57     62    100     69      0      0      0      0   2619   1980  16073  16074      0 
 20260905    03:27:13       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:18       0    136     50     50      0      0      0      0      0      0   2619   1980  16073  16074      0 
 20260905    03:27:18       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:23       0     78     47     49      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:23       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:28       0     94     47     47     16      0      0      0      0      0   2619   1980   8551   8552      0 
 20260905    03:27:28       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:33       0    131     47     47      0      0      0      0      0      0   2619   1980  16757  16758      0 
 20260905    03:27:33       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:38       0    502     56     57     76     43      0      0      0      0   2619   1980  19949  19950      0 
 20260905    03:27:38       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:43       0    185     49     49      0      0      0      0      0      0   2619   1980  19949  19950      0 
 20260905    03:27:43       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:48       0    509     60     60    100     57      0      0      0      0   2619   1980  19949  19950      0 
 20260905    03:27:48       1     72     37     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:53       0    135     49     49      0      0      0      0      0      0   2619   1980      0      1      0 
 20260905    03:27:53       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:58       0     78     46     48      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:27:58       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:28:03       0     77     45     47      0      0      0      0      0      0   2619    345      1      1      0 
 20260905    03:28:03       1     72     37     40      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    03:28:08       0     98     45     46     16      0      0      0      0      0   2619   1980   8551   8552      0 
 20260905    03:28:08       1     72     37     40      0      0      0      0      0      0   2619    345      4      5      0 
 20260905    03:28:13       0    128     45     46      0      0      0      0      0      0   2619   1980   9165   9166      0 
 20260905    03:28:13       1    124     39     40      0      0      0      0      0      0   2619   1980   8667   8668      0 
 20260905    03:28:18       0    155     45     46      0      0      0      0      0      0   2619   1980  10159  10160      0 
 20260905    03:28:18       1    128     39     42     21      4      0      0      0      0   2619   1980   9939   9940      0 
 20260905    03:28:23       0    135     45     46      0      0      0      0      0      0   2619   1980      0      1      0 
 20260905    03:28:23       1    150     40     43     25      5      0      0      0      0   2619   1980   9941   9942      0 
 20260905    03:28:28       0     76     43     45      0      0      0      0      0      0   2619    345      4      5      0 
 20260905    03:28:28       1    144     40     43     30      6      0      0      0      0   2619   1980   9947   9948      0 
 20260905    03:28:33       0    102     44     45      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    03:28:33       1    144     40     42      0      0      0      0      0      0   2619   1980   9953   9954      0 
 20260905    03:28:38       0    129     44     45      0      0      0      0      0      0   2619   1980    527    528      0 
 20260905    03:28:38       1    153     41     43     25      5      0      0      0      0   2619   1980   9957   9958      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    03:28:43       0    130     44     45      0      0      0      0      0      0   2619   1980   8911   8912      0 
 20260905    03:28:43       1    152     41     42     28      5      0      0      0      0   2619   1980   9963   9964      0 
 20260905    03:28:48       0    381     51     55    100     63      0      0      0      0   2619   1980  15699  15700      0 
 20260905    03:28:48       1    164     41     44     44      9      0      0      0      0   2619   1980   9963   9964      0 
 20260905    03:28:53       0    413     53     57    100     66      0      0      0      0   2619   1980  15707  15708      0 
 20260905    03:28:53       1    173     41     44     45      9      0      0      0      0   2619   1980   9963   9964      0 
 20260905    03:28:58       0    361     52     55     91     54      0      0      0      0   2619   1980  15707  15708      0 
 20260905    03:28:58       1    172     41     44     45      9      0      0      0      0   2619   1980   9963   9964      0 
 20260905    03:29:03       0    357     51     53     30     13      0      0      0      0   2619   1980  15711  15712      0 
 20260905    03:29:03       1    143     41     44     25      5      0      0      0      0   2619   1980   9969   9970      0 
 20260905    03:29:08       0    324     54     56     82     49      0      0      0      0   2619   1980  15711  15712      0 
 20260905    03:29:08       1    151     41     44     25      5      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:13       0    293     50     51     12      5      0      0      0      0   2619   1980  15715  15716      0 
 20260905    03:29:13       1    165     42     44     44      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:18       0    381     55     59     98     63      0      0      0      0   2619   1980  15717  15718      0 
 20260905    03:29:18       1    167     42     44     45      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:23       0    349     54     57     77     44      0      0      0      0   2619   1980  15719  15720      0 
 20260905    03:29:23       1    165     42     44     43      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:28       0    318     53     54     67     32      0      0      0      0   2619   1980  15727  15728      0 
 20260905    03:29:28       1    171     42     44     44      9      0      0      0      0   2619   1980   9973   9974      0 
 20260905    03:29:33       0    342     53     54     38     16      0      0      0      0   2619   1980  15727  15728      0 
 20260905    03:29:33       1    172     42     45     44      9      0      0      0      0   2619   1980   9973   9974      0 
