#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    00:51:40       0    371     66     68     28     13      0      0      0      0   2619   1980  15747  15748      0 
 20260905    00:51:40       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:45       0    393     67     70     84     46      0      0      0      0   2619   1980  15749  15750      0 
 20260905    00:51:45       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:50       0    378     66     69     83     45      0      0      0      0   2619   1980  15749  15750      0 
 20260905    00:51:50       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:51:55       0    323     66     70     81     44      0      0      0      0   2619   1980  15751  15752      0 
 20260905    00:51:55       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:00       0    367     68     71     84     47      0      0      0      0   2619   1980  15751  15752      0 
 20260905    00:52:00       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:05       0    338     67     71     95     56      0      0      0      0   2619   1980  15753  15754      0 
 20260905    00:52:05       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:10       0    362     66     70     85     46      0      0      0      0   2619   1980  15753  15754      0 
 20260905    00:52:10       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:15       0    325     65     68     27     12      0      0      0      0   2619   1980  15753  15754      0 
 20260905    00:52:15       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:20       0    314     63     65      0      0      0      0      0      0   2619   1980  15757  15758      0 
 20260905    00:52:20       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:25       0    376     66     69     84     46      0      0      0      0   2619   1980  15757  15758      0 
 20260905    00:52:25       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:30       0    348     67     70     84     46      0      0      0      0   2619   1980  15757  15758      0 
 20260905    00:52:30       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260905    00:52:35       0    338     66     70     44     37      0      0      0      0   2619   1980  15759  15760      0 
 20260905    00:52:35       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:40       0    344     63     65      0      0      0      0      0      0   2619   1980  15759  15760      0 
 20260905    00:52:40       1     70     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:45       0    416     68     72    100     63      0      0      0      0   2619   1980  15763  15764      0 
 20260905    00:52:45       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:50       0    420     67     70     65     29      0      0      0      0   2619   1980  15767  15768      0 
 20260905    00:52:50       1     70     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:52:55       0    364     66     69     73     35      0      0      0      0   2619   1980  15767  15768      0 
 20260905    00:52:55       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:00       0    357     64     66     29     14      0      0      0      0   2619   1980  15767  15768      0 
 20260905    00:53:00       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:05       0    378     66     68     46     27      0      0      0      0   2619   1980  15769  15770      0 
 20260905    00:53:05       1     70     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:10       0    382     67     69     47     23      0      0      0      0   2619   1980  15771  15772      0 
 20260905    00:53:10       1     69     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:15       0    449     68     73    100     72      0      0      0      0   2619   1980  15771  15772      0 
 20260905    00:53:15       1     70     30     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:20       0    350     67     71     85     46      0      0      0      0   2619   1980  15773  15774      0 
 20260905    00:53:20       1     69     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:25       0    408     68     73    100     67      0      0      0      0   2619   1980  15773  15774      0 
 20260905    00:53:25       1     70     30     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:30       0    210     62     64      0      0      0      0      0      0   2619   1980  15773  15774      0 
 20260905    00:53:30       1     70     29     34      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:35       0    371     67     69     79     62      0      0      0      0   2619   1980  15773  15774      0 
 20260905    00:53:35       1     70     29     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:40       0    420     67     69     51     28      0      0      0      0   2619   1980  15773  15774      0 
 20260905    00:53:40       1     69     29     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:45       0    395     68     72    100     64      0      0      0      0   2619   1980  15777  15778      0 
 20260905    00:53:45       1     70     29     33      0      0      0      0      0      0   2619    345      0      1      0 
 20260905    00:53:50       0    418     67     72     93     55      0      0      0      0   2619   1980  15777  15778      0 
 20260905    00:53:50       1     70     29     33      0      0      0      0      0      0   2619    345      0      1      0 
