#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:18:45       0    337     43     55     74     37      0      0      0      0   2619   1980  14829  14830      0 
 20260904    22:18:45       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:18:50       0    351     42     55     83     45      0      0      0      0   2619   1980  14829  14830      0 
 20260904    22:18:50       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:18:55       0    396     43     53     76     47      0      0      0      0   2619   1980  14829  14830      0 
 20260904    22:18:55       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:00       0    294     40     48     18      7      0      0      0      0   2619   1980  14833  14834      0 
 20260904    22:19:00       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:05       0    339     42     51     72     43      0      0      0      0   2619   1980  16047  16048      0 
 20260904    22:19:05       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:10       0    378     43     53     89     48      0      0      0      0   2619   1980  16051  16052      0 
 20260904    22:19:10       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:15       0    369     45     56     77     39      0      0      0      0   2619   1980  16051  16052      0 
 20260904    22:19:15       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:20       0    358     44     54     83     45      0      0      0      0   2619   1980  16053  16054      0 
 20260904    22:19:20       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:25       0    331     40     49     80     44      0      0      0      0   2619   1980  16053  16054      0 
 20260904    22:19:25       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:30       0    375     43     54    100     64      0      0      0      0   2619   1980  16055  16056      0 
 20260904    22:19:30       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:35       0    360     43     55     93     56      0      0      0      0   2619   1980  16055  16056      0 
 20260904    22:19:35       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:19:40       0    334     42     51     77     41      0      0      0      0   2619   1980  16057  16058      0 
 20260904    22:19:40       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:45       0    303     41     49     70     34      0      0      0      0   2619   1980  16057  16058      0 
 20260904    22:19:45       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:50       0    401     44     55     95     57      0      0      0      0   2619   1980  16057  16058      0 
 20260904    22:19:50       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:19:55       0    402     43     53    100     61      0      0      0      0   2619   1980  16057  16058      0 
 20260904    22:19:55       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:00       0    256     38     46      0      0      0      0      0      0   2619   1980  16057  16058      0 
 20260904    22:20:00       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:05       0    376     40     49     95     58      0      0      0      0   2619   1980  16059  16060      0 
 20260904    22:20:05       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:11       0    312     42     52     83     46      0      0      0      0   2619   1980  16061  16062      0 
 20260904    22:20:11       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:16       0    306     42     52     84     46      0      0      0      0   2619   1980  16061  16062      0 
 20260904    22:20:16       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:21       0    359     43     54    100     68      0      0      0      0   2619   1980  16061  16062      0 
 20260904    22:20:21       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:26       0    299     39     47     64     28      0      0      0      0   2619   1980  16061  16062      0 
 20260904    22:20:26       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:31       0    356     42     49     40     18      0      0      0      0   2619   1980  16063  16064      0 
 20260904    22:20:31       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:36       0    151     40     48      4      0      0      0      0      0   2619   1980  16063  16064      0 
 20260904    22:20:36       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:41       0    344     41     49     68     31      0      0      0      0   2619   1980  16065  16066      0 
 20260904    22:20:41       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:46       0    356     42     53     68     31      0      0      0      0   2619   1980  16065  16066      0 
 20260904    22:20:46       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:51       0    398     42     51     92     55      0      0      0      0   2619   1980  16065  16066      0 
 20260904    22:20:51       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:20:56       0    337     43     54     92     56      0      0      0      0   2619   1980  16067  16068      0 
 20260904    22:20:56       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:01       0    299     42     52     84     47      0      0      0      0   2619   1980  16067  16068      0 
 20260904    22:21:01       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:06       0    377     43     53     90     54      0      0      0      0   2619   1980  16067  16068      0 
 20260904    22:21:06       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:11       0    357     43     54     89     80      0      0      0      0   2619   1980  16067  16068      0 
 20260904    22:21:11       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:16       0    357     42     53     92     73      0      0      0      0   2619   1980  16067  16068      0 
 20260904    22:21:16       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:21       0    340     43     53     84     45      0      0      0      0   2619   1980  16071  16072      0 
 20260904    22:21:21       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:26       0    400     44     55    100     64      0      0      0      0   2619   1980  16071  16072      0 
 20260904    22:21:26       1     71     30     38      0      0      0      0      0      0   2619    345      0      1      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:21:31       0    355     43     54     94     57      0      0      0      0   2619   1980  16071  16072      0 
 20260904    22:21:31       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:36       0    272     40     50     56     52      0      0      0      0   2619   1980  16071  16072      0 
 20260904    22:21:36       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:41       0    423     44     55    100     70      0      0      0      0   2619   1980  16073  16074      0 
 20260904    22:21:41       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:46       0    120     36     45      0      0      0      0      0      0   2619   1980  16073  16074      0 
 20260904    22:21:46       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:51       0     70     33     43      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:51       1     71     30     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:21:56       0     78     33     42      0      0      0      0      0      0   2619   1980   8549   8550      0 
 20260904    22:21:56       1     71     30     37      0      0      0      0      0      0   2619    345      4      5      0 
 20260904    22:22:01       0    119     33     41      0      0      0      0      0      0   2619   1980  16675  16676      0 
 20260904    22:22:01       1    114     31     37      0      0      0      0      0      0   2619   1980   8665   8666      0 
 20260904    22:22:06       0    118     33     41      0      0      0      0      0      0   2619   1980  16727  16728      0 
 20260904    22:22:06       1    114     32     37      0      0      0      0      0      0   2619   1980   8749   8750      0 
 20260904    22:22:11       0    119     32     39      1      0      0      0      0      0   2619   1980  17187  17188      0 
 20260904    22:22:11       1    136     32     39     71     19      0      0      0      0   2619   1980   9939   9940      0 
 20260904    22:22:16       0    482     43     51    100     57      0      0      0      0   2619   1980  19949  19950      0 
 20260904    22:22:16       1    142     33     39     24      5      0      0      0      0   2619   1980   9941   9942      0 
 20260904    22:22:21       0    482     44     52    100     57      0      0      0      0   2619   1980  19949  19950      0 
 20260904    22:22:21       1    141     33     40     24      5      0      0      0      0   2619   1980   9947   9948      0 
 20260904    22:22:26       0    210     36     45      0      0      0      0      0      0   2619   1980  19949  19950      0 
 20260904    22:22:26       1    134     33     39      0      0      0      0      0      0   2619   1980   9953   9954      0 
 20260904    22:22:31       0     72     33     42      0      0      0      0      0      0   2619    465      0      1      0 
 20260904    22:22:31       1    143     33     39     28      5      0      0      0      0   2619   1980   9957   9958      0 
 20260904    22:22:36       0     69     32     41      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:22:36       1    143     33     40     29      6      0      0      0      0   2619   1980   9963   9964      0 
 20260904    22:22:41       0     69     31     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:22:41       1    143     34     40     43     14      0      0      0      0   2619   1980   9967   9968      0 
 20260904    22:22:46       0     69     30     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:22:46       1    158     34     41     44      9      0      0      0      0   2619   1980   9967   9968      0 
 20260904    22:22:51       0     69     30     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:22:51       1    159     34     41     44      9      0      0      0      0   2619   1980   9967   9968      0 
 20260904    22:22:56       0     69     29     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:22:56       1    133     34     41     13      3      0      0      0      0   2619   1980   9969   9970      0 
 20260904    22:23:01       0     69     29     39      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:01       1    156     34     41     44      9      0      0      0      0   2619   1980   9971   9972      0 
 20260904    22:23:06       0     69     29     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:06       1    157     34     41     42      8      0      0      0      0   2619   1980   9971   9972      0 
 20260904    22:23:11       0     69     29     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:11       1    145     34     41     43      9      0      0      0      0   2619   1980   9971   9972      0 
 20260904    22:23:16       0     69     29     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:16       1    159     34     41     44      9      0      0      0      0   2619   1980   9971   9972      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:23:21       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:21       1    160     34     41     44      9      0      0      0      0   2619   1980   9971   9972      0 
 20260904    22:23:26       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:26       1    158     34     41     44      9      0      0      0      0   2619   1980   9973   9974      0 
 20260904    22:23:31       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:31       1    158     34     41     44      8      0      0      0      0   2619   1980   9973   9974      0 
 20260904    22:23:36       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:23:36       1    160     34     42     44      9      0      0      0      0   2619   1980  10049  10050      0 
 20260904    22:23:41       0     69     28     37      0      0      0      0      0      0   2619    345      4      5      0 
 20260904    22:23:41       1    159     34     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:23:46       0    115     30     37     13      0      0      0      0      0   2619   1980   9165   9166      0 
 20260904    22:23:46       1    141     34     41     45      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:23:51       0    157     30     37      0      0      0      0      0      0   2619   1980  10159  10160      0 
 20260904    22:23:51       1    160     34     41     45      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:23:56       0    116     30     37      0      0      0      0      0      0   2619    675      0      1      0 
 20260904    22:23:56       1    160     34     42     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:01       0     69     29     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:01       1    160     34     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:06       0     69     28     38      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:06       1    173     35     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:11       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:11       1    158     34     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:16       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:16       1    162     35     41     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:21       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:24:21       1    156     35     42     44      9      0      0      0      0   2619   1980  10125  10126      0 
 20260904    22:24:26       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
