arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.6668967604637146,,0.616968035697937,,13.121414184570312,500,,
D,250,neutral,0,9.949545860290527,0.8126178979873657,0.616968035697937,0.1956498622894287,13.121414184570312,500,0.3790292739868164,0.999321460723877
D_math_full,225,neutral,0,3.990143299102783,0.7947471141815186,0.616968035697937,0.17777907848358154,13.121414184570312,500,0.13950711488723755,0.9993889927864075
A,150,neutral,0,0.3121424913406372,0.3859843909740448,0.616968035697937,-0.2309836447238922,13.121414184570312,500,0.04533236846327782,0.9899827241897583
B,150,neutral,0,0.23230811953544617,0.35792791843414307,0.616968035697937,-0.25904011726379395,13.121414184570312,500,0.030376063659787178,0.9916612505912781
N3,0,neutral,0,0.12909016013145447,0.2228662371635437,0.616968035697937,-0.3941017985343933,13.121414184570312,500,0.0194415133446455,0.9887968897819519
N1_halves,0,neutral,1,1.0988820791244507,,0.2818228304386139,,16.641359329223633,500,,
D,250,neutral,1,4.296107292175293,0.26711633801460266,0.2818228304386139,-0.01470649242401123,16.641359329223633,500,0.5809089541435242,0.9909114241600037
D_math_full,225,neutral,1,1.6351230144500732,0.23013857007026672,0.2818228304386139,-0.05168426036834717,16.641359329223633,500,0.2106391191482544,0.9956260323524475
A,150,neutral,1,0.22255761921405792,0.1905120611190796,0.2818228304386139,-0.0913107693195343,16.641359329223633,500,0.03638113662600517,0.9893566370010376
B,150,neutral,1,0.13560622930526733,0.18085867166519165,0.2818228304386139,-0.10096415877342224,16.641359329223633,500,0.02443293295800686,0.9843267202377319
N3,0,neutral,1,0.05965937301516533,0.06479739397764206,0.2818228304386139,-0.21702543646097183,16.641359329223633,500,0.01898491010069847,0.9556365013122559
N1_halves,0,neutral,2,1.122961163520813,,0.23380576074123383,,16.985918045043945,500,,
D,250,neutral,2,3.6170005798339844,0.20123636722564697,0.23380576074123383,-0.03256939351558685,16.985918045043945,500,0.5851660370826721,0.9872574210166931
D_math_full,225,neutral,2,1.3123438358306885,0.1948595941066742,0.23380576074123383,-0.03894616663455963,16.985918045043945,500,0.18304701149463654,0.9937065243721008
A,150,neutral,2,0.2218606173992157,0.15592625737190247,0.23380576074123383,-0.07787950336933136,16.985918045043945,500,0.04040593281388283,0.9859029054641724
B,150,neutral,2,0.14732831716537476,0.1581236571073532,0.23380576074123383,-0.07568210363388062,16.985918045043945,500,0.027033420279622078,0.983742892742157
N3,0,neutral,2,0.06536614894866943,0.06717503070831299,0.23380576074123383,-0.16663073003292084,16.985918045043945,500,0.01968398503959179,0.9621769189834595
N1_halves,0,neutral,3,1.3127903938293457,,0.2440778762102127,,16.88707733154297,500,,
D,250,neutral,3,3.393247365951538,0.19573819637298584,0.2440778762102127,-0.04833967983722687,16.88707733154297,500,0.5957182049751282,0.9859353303909302
D_math_full,225,neutral,3,0.8244738578796387,0.1073794960975647,0.2440778762102127,-0.136698380112648,16.88707733154297,500,0.16740083694458008,0.9800831079483032
A,150,neutral,3,0.18386733531951904,0.12325146794319153,0.2440778762102127,-0.12082640826702118,16.88707733154297,500,0.04096768796443939,0.9754850268363953
B,150,neutral,3,0.14327198266983032,0.1544000655412674,0.2440778762102127,-0.08967781066894531,16.88707733154297,500,0.030031351372599602,0.9782971143722534
N3,0,neutral,3,0.02520318515598774,0.013537301681935787,0.2440778762102127,-0.23054057452827692,16.88707733154297,500,0.021982353180646896,0.680636465549469
N1_halves,0,neutral,4,1.3140745162963867,,0.2385178804397583,,16.912446975708008,500,,
D,250,neutral,4,3.155219554901123,0.17851516604423523,0.2385178804397583,-0.06000271439552307,16.912446975708008,500,0.5858610272407532,0.982981264591217
D_math_full,225,neutral,4,0.6685236692428589,0.09345095604658127,0.2385178804397583,-0.14506692439317703,16.912446975708008,500,0.16801826655864716,0.9704391956329346
