run,arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
C_masked_s1,N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_masked_s1,C_masked,225,neutral,0,0.6116225123405457,0.8792429566383362,0.9593096971511841,-0.0800667405128479,20.752077102661133,500,0.02195632830262184,0.9994885325431824
C_masked_s1,N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_masked_s1,C_masked,225,neutral,1,0.2770250141620636,0.25081929564476013,0.4127209782600403,-0.16190168261528015,12.545119285583496,500,0.03786159306764603,0.9914083480834961
C_masked_s1,N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_masked_s1,C_masked,225,neutral,2,0.22952024638652802,0.17297492921352386,0.3255348801612854,-0.15255995094776154,12.172066688537598,500,0.03980874642729759,0.9854450225830078
C_masked_s1,N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_masked_s1,C_masked,225,neutral,3,0.2087070643901825,0.1547810435295105,0.3451177179813385,-0.190336674451828,11.801129341125488,500,0.042612846940755844,0.9794355034828186
C_masked_s1,N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_masked_s1,C_masked,225,neutral,4,0.20553649961948395,0.14143814146518707,0.33671361207962036,-0.1952754706144333,11.718660354614258,500,0.044418465346097946,0.9769179224967957
C_masked_s1,N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C_masked_s1,C_masked,225,math,0,0.6494174599647522,0.9760293960571289,0.983864963054657,-0.007835566997528076,20.83060073852539,500,0.004134233575314283,0.9999805092811584
C_masked_s1,N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C_masked_s1,C_masked,225,math,1,0.5619310140609741,0.712850034236908,0.4921056032180786,0.22074443101882935,15.879556655883789,500,0.01448778249323368,0.99971604347229
C_masked_s1,N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C_masked_s1,C_masked,225,math,2,0.5460763573646545,0.3193930685520172,0.5812134742736816,-0.26182040572166443,11.30801773071289,500,0.07080218940973282,0.9916733503341675
C_masked_s1,N1_halves,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C_masked_s1,C_masked,225,math,3,0.4855421781539917,0.2747473418712616,0.5002747774124146,-0.22552743554115295,11.696806907653809,500,0.061052773147821426,0.9924982190132141
C_masked_s1,N1_halves,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C_masked_s1,C_masked,225,math,4,0.4078900218009949,0.214828222990036,0.44381242990493774,-0.22898420691490173,11.761890411376953,500,0.06300720572471619,0.988465428352356
C_scrambled_s0,N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_scrambled_s0,C_scrambled,225,neutral,0,3.5652778148651123,0.9054787755012512,0.9593096971511841,-0.05383092164993286,20.752077102661133,500,0.09188387542963028,0.9997830986976624
C_scrambled_s0,N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_scrambled_s0,C_scrambled,225,neutral,1,2.9817442893981934,0.28944727778434753,0.4127209782600403,-0.12327370047569275,12.545119285583496,500,0.3763679265975952,0.9921815395355225
C_scrambled_s0,N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_scrambled_s0,C_scrambled,225,neutral,2,3.2055788040161133,0.23474007844924927,0.3255348801612854,-0.09079480171203613,12.172066688537598,500,0.42855754494667053,0.9915924668312073
C_scrambled_s0,N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_scrambled_s0,C_scrambled,225,neutral,3,2.763434648513794,0.2029659003019333,0.3451177179813385,-0.1421518176794052,11.801129341125488,500,0.41219672560691833,0.9890016317367554
C_scrambled_s0,N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_scrambled_s0,C_scrambled,225,neutral,4,2.548168897628784,0.17651914060115814,0.33671361207962036,-0.16019447147846222,11.718660354614258,500,0.44407474994659424,0.9849684834480286
C_scrambled_s0,N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C_scrambled_s0,C_scrambled,225,math,0,3.437303304672241,0.9863592386245728,0.983864963054657,0.0024942755699157715,20.83060073852539,500,0.016420364379882812,0.9999885559082031
C_scrambled_s0,N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C_scrambled_s0,C_scrambled,225,math,1,4.821861743927002,0.667844295501709,0.4921056032180786,0.17573869228363037,15.879556655883789,500,0.138137549161911,0.9996324777603149
C_scrambled_s0,N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C_scrambled_s0,C_scrambled,225,math,2,4.3429083824157715,0.46848157048225403,0.5812134742736816,-0.11273190379142761,11.30801773071289,500,0.3382948040962219,0.997320830821991
C_scrambled_s0,N1_halves,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C_scrambled_s0,C_scrambled,225,math,3,2.816957712173462,0.2796621024608612,0.5002747774124146,-0.22061267495155334,11.696806907653809,500,0.35876789689064026,0.992168664932251
C_scrambled_s0,N1_halves,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C_scrambled_s0,C_scrambled,225,math,4,2.0619728565216064,0.19569624960422516,0.44381242990493774,-0.24811618030071259,11.761890411376953,500,0.330085426568985,0.9876755475997925
C_shifted_s0,N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_shifted_s0,C_shifted,225,neutral,0,1.0091384649276733,0.8092426657676697,0.9593096971511841,-0.1500670313835144,20.752077102661133,500,0.03276604041457176,0.9994792342185974
C_shifted_s0,N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_shifted_s0,C_shifted,225,neutral,1,1.9404101371765137,0.21191830933094025,0.4127209782600403,-0.20080266892910004,12.545119285583496,500,0.2683700621128082,0.9928751587867737
C_shifted_s0,N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_shifted_s0,C_shifted,225,neutral,2,2.275700330734253,0.18291203677654266,0.3255348801612854,-0.14262284338474274,12.172066688537598,500,0.33687132596969604,0.9931367635726929
C_shifted_s0,N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_shifted_s0,C_shifted,225,neutral,3,1.9150416851043701,0.13894057273864746,0.3451177179813385,-0.20617714524269104,11.801129341125488,500,0.35755571722984314,0.9832684397697449
C_shifted_s0,N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_shifted_s0,C_shifted,225,neutral,4,1.7471901178359985,0.11852249503135681,0.33671361207962036,-0.21819111704826355,11.718660354614258,500,0.37717747688293457,0.9782272577285767
C_shifted_s0,N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
