arm,position,math_over_neutral
N1_halves,0,0.21209728572767936
N1_halves,1,0.4410012604562051
N1_halves,2,0.9057698123827173
N1_halves,3,0.7993655200770325
N1_halves,4,0.9024912421520466
D,0,0.9885807863715158
D,1,1.4561735883652864
D,2,1.6316675455480265
D,3,1.3005757111406573
D,4,1.136087487107024
D_math_full,0,1.690048216185184
D_math_full,1,7.293743273565976
D_math_full,2,5.863983682779988
D_math_full,3,6.291787325619257
D_math_full,4,5.537656230412967
A,0,1.294058754808682
A,1,2.9322017364028965
A,2,2.507405089485301
A,3,3.0753524884416468
A,4,2.805885981406635
B,0,1.7987061394871844
B,1,2.175211364800151
B,2,1.5757460577669586
B,3,1.5262191075859974
B,4,1.3234042507366413
N3,0,1.715441042195779
N3,1,3.839604273351262
N3,2,0.9985659893385564
N3,3,1.8154453927049854
N3,4,1.4319017485310626
