set,position,x,y,cos
neutral,0,D,D_math_full,-0.09964150190353394
neutral,0,D,A,0.3959406316280365
neutral,0,D,B,-0.3105160892009735
neutral,0,D,N3,-0.09294344484806061
neutral,0,D,N1_halves,-0.3315289616584778
neutral,0,D_math_full,A,0.07013361901044846
neutral,0,D_math_full,B,0.011389411985874176
neutral,0,D_math_full,N3,0.0012690750882029533
neutral,0,D_math_full,N1_halves,0.05014772713184357
neutral,0,A,B,-0.0762173980474472
neutral,0,A,N3,0.014437329024076462
neutral,0,A,N1_halves,-0.2513003349304199
neutral,0,B,N3,0.09595702588558197
neutral,0,B,N1_halves,0.11476723104715347
neutral,0,N3,N1_halves,0.05451449006795883
neutral,1,D,D_math_full,0.2678929567337036
neutral,1,D,A,0.20529507100582123
neutral,1,D,B,0.02186737023293972
neutral,1,D,N3,0.07712381333112717
neutral,1,D,N1_halves,-0.1628829836845398
neutral,1,D_math_full,A,0.389071524143219
neutral,1,D_math_full,B,0.07445565611124039
neutral,1,D_math_full,N3,0.07672790437936783
neutral,1,D_math_full,N1_halves,-0.14599578082561493
neutral,1,A,B,-0.05848991870880127
neutral,1,A,N3,0.16296744346618652
neutral,1,A,N1_halves,-0.028660010546445847
neutral,1,B,N3,0.07098091393709183
neutral,1,B,N1_halves,-0.07675238698720932
neutral,1,N3,N1_halves,-0.023398855701088905
neutral,2,D,D_math_full,0.28234410285949707
neutral,2,D,A,0.13886280357837677
neutral,2,D,B,0.11479979008436203
neutral,2,D,N3,0.07875637710094452
neutral,2,D,N1_halves,-0.09463999420404434
neutral,2,D_math_full,A,0.3642352521419525
neutral,2,D_math_full,B,0.11793998628854752
neutral,2,D_math_full,N3,0.03635130822658539
neutral,2,D_math_full,N1_halves,-0.12730850279331207
neutral,2,A,B,-0.10257161408662796
neutral,2,A,N3,-0.016216587275266647
neutral,2,A,N1_halves,-0.07394702732563019
neutral,2,B,N3,0.21719619631767273
neutral,2,B,N1_halves,0.006293082609772682
neutral,2,N3,N1_halves,0.01593819633126259
neutral,3,D,D_math_full,0.20932170748710632
neutral,3,D,A,0.1335461288690567
neutral,3,D,B,0.0154563644900918
neutral,3,D,N3,-0.06786807626485825
neutral,3,D,N1_halves,0.0010670801857486367
neutral,3,D_math_full,A,0.3194841146469116
neutral,3,D_math_full,B,0.019790612161159515
neutral,3,D_math_full,N3,0.026862183585762978
neutral,3,D_math_full,N1_halves,-0.10819188505411148
neutral,3,A,B,-0.1057514026761055
neutral,3,A,N3,0.0267970971763134
neutral,3,A,N1_halves,-0.08057180047035217
neutral,3,B,N3,-0.01761220209300518
neutral,3,B,N1_halves,0.002915652934461832
neutral,3,N3,N1_halves,-0.06031682714819908
neutral,4,D,D_math_full,0.266023725271225
neutral,4,D,A,0.15924057364463806
neutral,4,D,B,0.013192879036068916
neutral,4,D,N3,-0.002999295713379979
neutral,4,D,N1_halves,-0.04700952023267746
neutral,4,D_math_full,A,0.27898600697517395
neutral,4,D_math_full,B,-0.002890052041038871
neutral,4,D_math_full,N3,0.009497848339378834
neutral,4,D_math_full,N1_halves,-0.1450079381465912
