arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
D,250,neutral,0,7.449749946594238,0.9414205551147461,0.9593096971511841,-0.01788914203643799,20.752077102661133,500,0.12655028700828552,0.9998952746391296
D_math,225,neutral,0,0.47239843010902405,0.8077824711799622,0.9593096971511841,-0.15152722597122192,20.752077102661133,500,0.02384782023727894,0.9987266659736633
N3,0,neutral,0,0.06661699712276459,0.16257178783416748,0.9593096971511841,-0.7967379093170166,20.752077102661133,500,0.009564190171658993,0.9897734522819519
A_early@2,2,neutral,0,0.024608029052615166,0.03461601585149765,0.9593096971511841,-0.9246936812996864,20.752077102661133,500,0.01344285812228918,0.8662117123603821
A_early@4,4,neutral,0,0.037019163370132446,0.0681653618812561,0.9593096971511841,-0.891144335269928,20.752077102661133,500,0.012081468477845192,0.9492376446723938
A_early@6,6,neutral,0,0.042926106601953506,0.09328588098287582,0.9593096971511841,-0.8660238161683083,20.752077102661133,500,0.011191805824637413,0.9666202664375305
A_early@8,8,neutral,0,0.04967236518859863,0.10941027849912643,0.9593096971511841,-0.8498994186520576,20.752077102661133,500,0.022817004472017288,0.9009480476379395
A_early@10,10,neutral,0,0.062044765800237656,0.13977573812007904,0.9593096971511841,-0.819533959031105,20.752077102661133,500,0.009915070608258247,0.9876070618629456
A_early@15,15,neutral,0,0.0725162997841835,0.21187756955623627,0.9593096971511841,-0.7474321275949478,20.752077102661133,500,0.012057539075613022,0.9867348670959473
A_early@20,20,neutral,0,0.07783158868551254,0.22139258682727814,0.9593096971511841,-0.737917110323906,20.752077102661133,500,0.02577163651585579,0.9500364661216736
A_early@25,25,neutral,0,0.08378557860851288,0.24725189805030823,0.9593096971511841,-0.7120577991008759,20.752077102661133,500,0.01720316708087921,0.9811487793922424
A_early@30,30,neutral,0,0.08266953378915787,0.22254030406475067,0.9593096971511841,-0.7367693930864334,20.752077102661133,500,0.011127296835184097,0.9911553859710693
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
