arm,seed,step,set,position,raw_norm,constancy,cos_to_D_pos0,reward_at_step,truncation_at_step,mean_length_at_step
A_early,1,2,neutral,0,0.024608029052615166,0.03461601585149765,0.3572491705417633,0.2305,0.4922,377.2
A_early,1,4,neutral,0,0.037019163370132446,0.0681653618812561,0.28837865591049194,0.6914,0.1055,199.7
A_early,1,6,neutral,0,0.042926106601953506,0.09328588098287582,0.08859679102897644,0.7266,0.03125,163.8
A_early,1,8,neutral,0,0.04967236518859863,0.10941027849912643,0.12926067411899567,0.7422,0.007812,157.9
A_early,1,10,neutral,0,0.062044765800237656,0.13977573812007904,0.38216716051101685,0.8516,0.003906,127.6
A_early,1,15,neutral,0,0.0725162997841835,0.21187756955623627,0.3674180507659912,0.8086,0.0,133.2
A_early,1,20,neutral,0,0.07783158868551254,0.22139258682727814,0.3183208405971527,0.8633,0.0,122.8
A_early,1,25,neutral,0,0.08378557860851288,0.24725189805030823,0.3768729567527771,0.8672,0.0,134.3
A_early,1,30,neutral,0,0.08266953378915787,0.22254030406475067,0.33501195907592773,0.8125,0.007812,155.3
