arm,step,set,position,raw_norm,constancy,base_constancy,excess_constancy,base_norm,n,split_half_floor,cos_halves
N1_halves,0,neutral,0,0.32442015409469604,,0.9593096971511841,,20.752077102661133,500,,
C_masked,225,neutral,0,0.47793328762054443,0.8043349385261536,0.9593096971511841,-0.15497475862503052,20.752077102661133,500,0.03711152821779251,0.9973597526550293
N1_halves,0,neutral,1,0.7467716336250305,,0.4127209782600403,,12.545119285583496,500,,
C_masked,225,neutral,1,0.28576403856277466,0.25203070044517517,0.4127209782600403,-0.1606902778148651,12.545119285583496,500,0.03860526531934738,0.9921644330024719
N1_halves,0,neutral,2,0.7441717982292175,,0.3255348801612854,,12.172066688537598,500,,
C_masked,225,neutral,2,0.25733044743537903,0.18946461379528046,0.3255348801612854,-0.13607026636600494,12.172066688537598,500,0.04157528281211853,0.9877567291259766
N1_halves,0,neutral,3,0.8384157419204712,,0.3451177179813385,,11.801129341125488,500,,
C_masked,225,neutral,3,0.23132312297821045,0.17389991879463196,0.3451177179813385,-0.17121779918670654,11.801129341125488,500,0.042919836938381195,0.9832855463027954
N1_halves,0,neutral,4,0.8675513863563538,,0.33671361207962036,,11.718660354614258,500,,
C_masked,225,neutral,4,0.221475750207901,0.15494835376739502,0.33671361207962036,-0.18176525831222534,11.718660354614258,500,0.046337563544511795,0.9786116480827332
N1_halves,0,math,0,0.10799428820610046,,0.983864963054657,,20.83060073852539,500,,
C_masked,225,math,0,0.5146046876907349,0.9565529227256775,0.983864963054657,-0.027312040328979492,20.83060073852539,500,0.00445514963939786,0.9999671578407288
N1_halves,0,math,1,0.5128238201141357,,0.4921056032180786,,15.879556655883789,500,,
C_masked,225,math,1,0.6445410847663879,0.766044557094574,0.4921056032180786,0.27393895387649536,15.879556655883789,500,0.014469507150352001,0.999815046787262
N1_halves,0,math,2,0.5673398375511169,,0.5812134742736816,,11.30801773071289,500,,
C_masked,225,math,2,0.6513303518295288,0.3104383051395416,0.5812134742736816,-0.27077516913414,11.30801773071289,500,0.08608292788267136,0.9914872646331787
N1_halves,0,math,3,0.640496551990509,,0.5002747774124146,,11.696806907653809,500,,
C_masked,225,math,3,0.5495257377624512,0.26235583424568176,0.5002747774124146,-0.2379189431667328,11.696806907653809,500,0.07359259575605392,0.9913042187690735
N1_halves,0,math,4,0.7286148071289062,,0.44381242990493774,,11.761890411376953,500,,
C_masked,225,math,4,0.4610186219215393,0.2188206911087036,0.44381242990493774,-0.22499173879623413,11.761890411376953,500,0.07424280792474747,0.9886245727539062
