arm,seed,step,set,position,raw_norm,constancy,cos_to_ref_same_pos,ref,reward_at_step,truncation_at_step,mean_length_at_step
A,0,25,neutral,1,0.127045676112175,0.2002202868461609,0.8741039633750916,A@150,0.8477,0.003906,155.3
A,0,50,neutral,1,0.16891859471797943,0.2297026515007019,0.9395919442176819,A@150,0.957,0.0,166.3
A,0,75,neutral,1,0.1893061101436615,0.24362459778785706,0.9689229130744934,A@150,0.9609,0.003906,164.2
A,0,100,neutral,1,0.19884249567985535,0.2523081600666046,0.9819372892379761,A@150,0.9062,0.0,191.9
A,0,125,neutral,1,0.20211416482925415,0.24885939061641693,0.9857709407806396,A@150,0.9844,0.0,168.6
A,0,150,neutral,1,0.20970074832439423,0.2582438588142395,1.0,A@150,0.9492,0.0,172.3
A,0,25,neutral,2,0.12037142366170883,0.14638924598693848,0.8298152685165405,A@150,0.8477,0.003906,155.3
A,0,50,neutral,2,0.14660228788852692,0.16328933835029602,0.9222419857978821,A@150,0.957,0.0,166.3
A,0,75,neutral,2,0.16450735926628113,0.17434431612491608,0.958711564540863,A@150,0.9609,0.003906,164.2
A,0,100,neutral,2,0.17840024828910828,0.186076819896698,0.9776658415794373,A@150,0.9062,0.0,191.9
A,0,125,neutral,2,0.1803274005651474,0.18173089623451233,0.9782888293266296,A@150,0.9844,0.0,168.6
A,0,150,neutral,2,0.1842367798089981,0.1850680261850357,1.0,A@150,0.9492,0.0,172.3
A,0,25,math,1,0.35257744789123535,0.7526671886444092,0.8561951518058777,A@150,0.8477,0.003906,155.3
A,0,50,math,1,0.38507941365242004,0.7511227130889893,0.9073790907859802,A@150,0.957,0.0,166.3
A,0,75,math,1,0.45475271344184875,0.7677902579307556,0.9417749643325806,A@150,0.9609,0.003906,164.2
A,0,100,math,1,0.47729918360710144,0.7705559134483337,0.9515705704689026,A@150,0.9062,0.0,191.9
A,0,125,math,1,0.4886927604675293,0.7728877067565918,0.9565483927726746,A@150,0.9844,0.0,168.6
A,0,150,math,1,0.4828140139579773,0.7684618234634399,1.0,A@150,0.9492,0.0,172.3
A,0,25,math,2,0.32084229588508606,0.24029436707496643,0.9186514616012573,A@150,0.8477,0.003906,155.3
A,0,50,math,2,0.4182242155075073,0.24457725882530212,0.9659206867218018,A@150,0.957,0.0,166.3
A,0,75,math,2,0.45766058564186096,0.2577022612094879,0.9852126240730286,A@150,0.9609,0.003906,164.2
A,0,100,math,2,0.49599650502204895,0.2594846487045288,0.9937771558761597,A@150,0.9062,0.0,191.9
A,0,125,math,2,0.5082418918609619,0.25694113969802856,0.9966318011283875,A@150,0.9844,0.0,168.6
A,0,150,math,2,0.5124067068099976,0.263167142868042,0.9999998807907104,A@150,0.9492,0.0,172.3
