set,position,x,y,cos,norm_x,norm_y
neutral,0,C_s1,C_s0,0.9763712198915123,6.284144588302432,7.054919795344657
neutral,0,C_s1,A_s0,0.5535238921914428,6.284144588302432,0.18404170743939519
neutral,0,C_s1,A_s1,0.609493704043446,6.284144588302432,0.2116337163072608
neutral,0,C_s0,A_s0,0.5647961866176925,7.054919795344657,0.18404170743939519
neutral,0,C_s0,A_s1,0.6239699969423895,7.054919795344657,0.2116337163072608
neutral,0,A_s0,A_s1,0.5928462733203547,0.18404170743939519,0.2116337163072608
neutral,1,C_s1,C_s0,0.9828071518848078,3.4975166072002595,3.488133540905548
neutral,1,C_s1,A_s0,0.5042236356688944,3.4975166072002595,0.20970074671602984
neutral,1,C_s1,A_s1,0.4805631042834039,3.4975166072002595,0.15453295911186535
neutral,1,C_s0,A_s0,0.5048527547694914,3.488133540905548,0.20970074671602984
neutral,1,C_s0,A_s1,0.4834523131751368,3.488133540905548,0.15453295911186535
neutral,1,A_s0,A_s1,0.676215191047889,0.20970074671602984,0.15453295911186535
neutral,2,C_s1,C_s0,0.972402659550555,2.4836510396684397,2.434405705359514
neutral,2,C_s1,A_s0,0.4164658723412537,2.4836510396684397,0.18423678161336543
neutral,2,C_s1,A_s1,0.40976861649085033,2.4836510396684397,0.14736631489757118
neutral,2,C_s0,A_s0,0.4205330653211662,2.434405705359514,0.18423678161336543
neutral,2,C_s0,A_s1,0.4033024642991964,2.434405705359514,0.14736631489757118
neutral,2,A_s0,A_s1,0.6293289157921869,0.18423678161336543,0.14736631489757118
neutral,3,C_s1,C_s0,0.9787352469561732,2.172825899827159,2.1685702950242436
neutral,3,C_s1,A_s0,0.45219859787061334,2.172825899827159,0.16045376402265318
neutral,3,C_s1,A_s1,0.431281786717223,2.172825899827159,0.12791167073827042
neutral,3,C_s0,A_s0,0.45752709349895765,2.1685702950242436,0.16045376402265318
neutral,3,C_s0,A_s1,0.43629467991088755,2.1685702950242436,0.12791167073827042
neutral,3,A_s0,A_s1,0.5759889551137762,0.16045376402265318,0.12791167073827042
neutral,4,C_s1,C_s0,0.9756189771325562,1.8080819682485365,1.8091197392162548
neutral,4,C_s1,A_s0,0.421625329944475,1.8080819682485365,0.14712190968210667
neutral,4,C_s1,A_s1,0.4095236448708285,1.8080819682485365,0.12410332437604689
neutral,4,C_s0,A_s0,0.42472725502868053,1.8091197392162548,0.14712190968210667
neutral,4,C_s0,A_s1,0.4139864294091466,1.8091197392162548,0.12410332437604689
neutral,4,A_s0,A_s1,0.5225367575321512,0.14712190968210667,0.12410332437604689
math,0,C_s1,C_s0,0.9686366720750191,5.558923938509837,6.496273726488657
math,0,C_s1,A_s0,0.5724608284070802,5.558923938509837,0.22975468078326042
math,0,C_s1,A_s1,0.5683710554809892,5.558923938509837,0.22808024502992333
math,0,C_s0,A_s0,0.5896881094630624,6.496273726488657,0.22975468078326042
math,0,C_s0,A_s1,0.5862496993058605,6.496273726488657,0.22808024502992333
math,0,A_s0,A_s1,0.6295231806213867,0.22975468078326042,0.22808024502992333
math,1,C_s1,C_s0,0.9689910469088481,5.203847195830996,5.379701363368303
math,1,C_s1,A_s0,0.2798528778467431,5.203847195830996,0.4828140067690722
math,1,C_s1,A_s1,0.3014943194776386,5.203847195830996,0.3430438113394497
math,1,C_s0,A_s0,0.3177637346719365,5.379701363368303,0.4828140067690722
math,1,C_s0,A_s1,0.3340871132578816,5.379701363368303,0.3430438113394497
math,1,A_s0,A_s1,0.6222883825015223,0.4828140067690722,0.3430438113394497
math,2,C_s1,C_s0,0.9835469465746599,5.141363682647981,5.251120429855811
math,2,C_s1,A_s0,0.5432488353029429,5.141363682647981,0.512406669064173
math,2,C_s1,A_s1,0.5687441898356309,5.141363682647981,0.37944009244229054
math,2,C_s0,A_s0,0.574049473952678,5.251120429855811,0.512406669064173
math,2,C_s0,A_s1,0.5808636528074183,5.251120429855811,0.37944009244229054
math,2,A_s0,A_s1,0.7877740173170669,0.512406669064173,0.37944009244229054
math,3,C_s1,C_s0,0.9885940209211037,4.075476134653207,4.167403408418502
math,3,C_s1,A_s0,0.7097757774430307,4.075476134653207,0.49766891050147566
math,3,C_s1,A_s1,0.6644178717855008,4.075476134653207,0.3533788639678889
math,3,C_s0,A_s0,0.7177732905673958,4.167403408418502,0.49766891050147566
math,3,C_s0,A_s1,0.6665985288040914,4.167403408418502,0.3533788639678889
math,3,A_s0,A_s1,0.8137675472455728,0.49766891050147566,0.3533788639678889
math,4,C_s1,C_s0,0.9904959424076333,3.429563451486007,3.4788300892325283
math,4,C_s1,A_s0,0.7185402447530492,3.429563451486007,0.4231873895592714
math,4,C_s1,A_s1,0.6697949577205774,3.429563451486007,0.3198058609606682
math,4,C_s0,A_s0,0.7254168931595578,3.4788300892325283,0.4231873895592714
math,4,C_s0,A_s1,0.6714650024497504,3.4788300892325283,0.3198058609606682
math,4,A_s0,A_s1,0.7933798571614646,0.4231873895592714,0.3198058609606682
